scenario_id,road_environment,road_type,weather,lighting,vehicle_speed,true_depth,water_depth,true_ntu,ntu,severity,lidar,lidar_error,R_lidar,ultrasonic,ultrasonic_error,surface_echo,bottom_echo,R_ultrasonic,radar,radar_error,snr,rcs,clutter_probability,R_radar,imu_pitch,imu_roll,imu_acceleration,R_imu,water_state,R_water,water_contact
SC001,Urban,Asphalt,Mist,Dusk,9.36,12,3,97,99.48,Moderate,12.16,0.16,0.6642026369054642,12.1,0.1,0.26,0.74,0.6497906188812154,12.59,0.59,26.05,0.8869204367171575,0.13,0.9617430555764543,2.866,-1.423,9.384,0.972,Shallow Puddle,0.9,True
SC002,Urban,Mud,Foggy,Night_Streetlights,4.19,6,0,123,130.9,Low,6.27,0.27,0.7338578015457281,5.93,-0.07,0.0,1.0,1.0,6.07,0.07,29.3,1.0,0.076,0.9986280721075023,-1.101,-1.5,10.207,0.963,Dry,0.98,False
SC003,Urban,Mud,Foggy,Daylight,7.89,18,7,214,211.67,Severe,18.45,0.45,0.45444790154441306,17.71,-0.29,0.34,0.66,0.5568187789536133,17.63,-0.37,20.76,0.7557837414557255,0.232,0.90441616913518,1.512,5.42,10.419,0.95,Flooded Pothole,0.95,True
SC004,Urban,Asphalt,Mist,Night_Streetlights,4.15,15,8,99,93.94,Moderate,15.48,0.48,0.5218870989651276,14.86,-0.14,0.36,0.64,0.5345729353032141,14.72,-0.28,22.6,0.7261490370736909,0.229,0.9003799394916463,0.65,-0.067,9.38,0.982,Flooded Pothole,0.95,True
SC005,Urban,Gravel,Clear,Night_Streetlights,8.04,8,5,44,42.87,Moderate,8.29,0.29,0.6579725933289674,2.57,-5.43,0.3,0.7,0.6024955834975404,8.33,0.33,22.27,0.8187307530779818,0.159,0.9337863926421169,3.163,0.536,10.279,0.964,Flooded Pothole,0.95,True
SC006,Rural,Asphalt,Foggy,Dawn,4.93,17,2,241,242.88,Moderate,16.88,-0.12,0.5550994456141473,16.96,-0.04,0.24,0.76,0.6740595319050396,16.9,-0.1,30.38,0.9231163463866358,0.139,0.9739646778923151,1.575,4.092,10.57,0.975,Shallow Puddle,0.9,True
SC007,Rural,Mud,Foggy,Daylight,9.73,7,0,158,157.93,Low,6.61,-0.39,0.702796431660969,7.12,0.12,0.0,1.0,1.0,6.84,-0.16,30.31,1.0,0.082,0.9985980614513204,-1.462,0.555,10.113,0.918,Dry,0.98,False
SC008,Urban,Asphalt,Thunderstorm,Dawn,8.36,17,8,366,356.2,Severe,16.38,-0.62,0.34303595919775676,17.03,0.03,0.36,0.64,0.5345729353032141,17.19,0.19,20.66,0.7261490370736909,0.281,0.8921813076700461,-0.882,1.942,9.292,0.975,Flooded Pothole,0.95,True
SC009,Urban,Gravel,Drizzle,Dusk,9.02,11,10,148,147.42,Severe,11.22,0.22,0.43349630779285153,10.78,-0.22,0.4,0.6,0.49123845184678905,10.83,-0.17,17.31,0.6703200460356393,0.279,0.8245635976499639,3.863,0.845,10.448,0.965,Flooded Pothole,0.95,True
SC010,Urban,Asphalt,Foggy,Daylight,4.7,10,7,197,202.29,Moderate,10.5,0.5,0.4613196925877103,9.74,-0.26,0.34,0.66,0.5568187789536133,10.07,0.07,21.02,0.7557837414557255,0.23,0.9058176367901317,1.626,-0.926,9.695,0.982,Flooded Pothole,0.95,True
SC011,Urban,Mud,Mist,Dusk,2.32,6,1,185,181.62,Low,6.37,0.37,0.6436552643553834,6.15,0.15,0.22,0.78,0.42381367787810986,6.14,0.14,27.54,0.9607894391523232,0.106,0.9859748046020201,3.051,1.146,10.038,0.974,Shallow Puddle,0.9,True
SC012,Rural,Gravel,Drizzle,Dawn,4.13,11,9,160,158.45,Moderate,11.54,0.54,0.4477501065830119,2.29,-8.71,0.38,0.62,0.5127146630448847,10.89,-0.11,18.92,0.697676326071031,0.262,0.8662669490487294,-0.822,3.321,10.224,0.974,Flooded Pothole,0.95,True
SC013,Rural,Dirt,Mist,Night_Streetlights,4.47,9,4,97,91.47,Moderate,8.78,-0.22,0.6399584670298933,9.12,0.12,0.28,0.72,0.6259379294871402,9.6,0.6,26.71,0.8521437889662113,0.148,0.9502043624908442,-0.096,0.748,9.877,0.963,Flooded Pothole,0.95,True
SC014,Rural,Mud,Mist,Night_Dark,5.62,18,18,131,132.81,Extreme,18.08,0.08,0.2974539071349895,0.11,-17.89,0.56,0.44,0.3325448462405192,18.87,0.87,10.75,0.4867522559599717,0.3,0.27940295009956834,6.016,5.046,10.079,0.962,Flooded Pothole,0.95,True
SC015,Rural,Concrete,Clear,Dawn,3.6,8,2,80,66.9,Low,8.44,0.44,0.7356211754717297,8.01,0.01,0.24,0.76,0.6740595319050396,7.96,-0.04,27.74,0.9231163463866358,0.103,0.9743028924791782,4.717,1.718,9.492,0.98,Shallow Puddle,0.9,True
SC016,Urban,Dirt,Rainy,Night_Streetlights,11.71,19,16,184,174.06,Extreme,19.33,0.33,0.3077412335329952,19.05,0.05,0.52,0.48,0.3701047611857118,19.44,0.44,10.02,0.5272924240430485,0.3,0.2223815802395573,1.904,1.554,10.431,0.948,Flooded Pothole,0.95,True
SC017,Urban,Asphalt,Mist,Night_Dark,5.4,13,12,162,157.96,Severe,13.12,0.12,0.38568434620796654,13.14,0.14,0.44,0.56,0.449410526858988,13.4,0.4,16.37,0.6187833918061408,0.3,0.7741502402275047,-1.748,0.405,9.671,0.983,Flooded Pothole,0.95,True
SC018,Rural,Gravel,Cloudy,Night_Streetlights,11.72,5,5,117,117.49,Moderate,5.68,0.68,0.5839242578660127,4.89,-0.11,0.3,0.7,0.6024955834975404,4.94,-0.06,23.41,0.8187307530779818,0.173,0.935926816713814,-0.546,0.58,10.079,0.95,Flooded Pothole,0.95,True
SC019,Urban,Concrete,Thunderstorm,Dusk,9.63,11,2,345,337.68,Moderate,11.33,0.33,0.4769765264983332,11.04,0.04,0.24,0.76,0.6740595319050396,11.37,0.37,25.48,0.9231163463866358,0.158,0.9725813493940425,2.518,0.72,9.663,0.972,Shallow Puddle,0.9,True
SC020,Urban,Mud,Foggy,Dusk,11.29,20,0,128,125.9,Moderate,19.88,-0.12,0.7397522101557216,19.88,-0.12,0.0,1.0,1.0,20.44,0.44,32.83,1.0,0.075,0.998789505868784,-2.203,9.098,9.867,0.925,Dry,0.98,False
SC021,Urban,Gravel,Clear,Daylight,6.86,7,1,93,93.87,Low,7.21,0.21,0.7406759972372345,6.99,-0.01,0.22,0.78,0.42381367787810986,6.75,-0.25,28.76,0.9607894391523232,0.089,0.9864490614357749,0.998,1.197,10.255,0.962,Shallow Puddle,0.9,True
